Word,Frequency
aaron,0.00014084507042253522
abide,0.00014084507042253522
above,0.00014084507042253522
account,0.00014084507042253522
adam,0.00014084507042253522
after,0.00028169014084507044
again,0.0028169014084507044
against,0.002112676056338028
alike,0.0008450704225352113
alive,0.00042253521126760566
alone,0.0005633802816901409
also,0.00014084507042253522
always,0.0018309859154929577
amen,0.0005633802816901409
among,0.0009859154929577464
amoron,0.0016901408450704226
angels,0.00014084507042253522
anger,0.0009859154929577464
another,0.00042253521126760566
answered,0.0015492957746478873
apostles,0.00014084507042253522
appear,0.00014084507042253522
arise,0.00042253521126760566
armies,0.00014084507042253522
army,0.00014084507042253522
ascended,0.00042253521126760566
attain,0.00014084507042253522
author,0.00014084507042253522
availeth,0.00014084507042253522
awake,0.00014084507042253522
away,0.00014084507042253522
awful,0.0011267605633802818
baptism,0.0005633802816901409
baptize,0.0023943661971830986
baptized,0.00014084507042253522
battle,0.0005633802816901409
bear,0.00014084507042253522
beareth,0.00014084507042253522
beasts,0.00014084507042253522
because,0.00014084507042253522
become,0.0022535211267605635
been,0.0007042253521126761
before,0.0007042253521126761
began,0.0009859154929577464
behold,0.00014084507042253522
being,0.0060563380281690145
believe,0.0008450704225352113
beloved,0.00028169014084507044
beold,0.0022535211267605635
beseech,0.00014084507042253522
bestowed,0.00014084507042253522
better,0.00014084507042253522
betwixt,0.00014084507042253522
bitter,0.00014084507042253522
bless,0.00014084507042253522
blood,0.00028169014084507044
blotted,0.0007042253521126761
bodies,0.00014084507042253522
body,0.00014084507042253522
boldly,0.00042253521126760566
boldness,0.00014084507042253522
bonds,0.00014084507042253522
borders,0.00014084507042253522
both,0.00014084507042253522
bravery,0.00028169014084507044
bread,0.00014084507042253522
brethren,0.00028169014084507044
bring,0.0028169014084507044
bringeth,0.00014084507042253522
broken,0.00042253521126760566
brought,0.00028169014084507044
brutal,0.00042253521126760566
built,0.00014084507042253522
call,0.00014084507042253522
called,0.00042253521126760566
calling,0.00042253521126760566
callings,0.00028169014084507044
came,0.00014084507042253522
cannot,0.0005633802816901409
capable,0.0018309859154929577
carried,0.00028169014084507044
carry,0.00014084507042253522
case,0.00014084507042253522
casteth,0.00028169014084507044
cause,0.00014084507042253522
cease,0.00014084507042253522
ceased,0.00014084507042253522
charity,0.0014084507042253522
chastity,0.0018309859154929577
child,0.00014084507042253522
children,0.00042253521126760566
choice,0.004788732394366197
chosen,0.00014084507042253522
christ,0.00028169014084507044
church,0.009859154929577466
civil,0.0014084507042253522
claim,0.00014084507042253522
claimeth,0.00014084507042253522
clay,0.00014084507042253522
cleansed,0.00014084507042253522
cleave,0.00014084507042253522
come,0.00028169014084507044
comes,0.0016901408450704226
cometh,0.00014084507042253522
coming,0.0015492957746478873
command,0.00042253521126760566
commands,0.00014084507042253522
commit,0.00014084507042253522
condemn,0.00014084507042253522
conquer,0.00028169014084507044
contrary,0.00028169014084507044
contrite,0.00014084507042253522
could,0.00014084507042253522
counted,0.00028169014084507044
covenant,0.0005633802816901409
creation,0.00014084507042253522
cries,0.00014084507042253522
cruel,0.00014084507042253522
crying,0.00014084507042253522
curse,0.00014084507042253522
danger,0.00028169014084507044
dark,0.00014084507042253522
daughter,0.00014084507042253522
daylight,0.00014084507042253522
dead,0.00014084507042253522
dear,0.00042253521126760566
death,0.00014084507042253522
declare,0.0008450704225352113
declared,0.00028169014084507044
delight,0.00014084507042253522
deliver,0.00028169014084507044
denieth,0.00014084507042253522
deny,0.00028169014084507044
denying,0.0014084507042253522
desire,0.00028169014084507044
despair,0.00014084507042253522
destroy,0.00028169014084507044
devil,0.00028169014084507044
devour,0.0009859154929577464
died,0.00014084507042253522
dissent,0.00014084507042253522
diverse,0.00014084507042253522
doeth,0.00028169014084507044
doing,0.00042253521126760566
done,0.00014084507042253522
doth,0.0012676056338028169
down,0.0008450704225352113
drink,0.0008450704225352113
dust,0.00014084507042253522
dwell,0.00028169014084507044
dwelleth,0.00028169014084507044
earth,0.00014084507042253522
easily,0.00042253521126760566
elder,0.00014084507042253522
elders,0.00014084507042253522
emron,0.0005633802816901409
endless,0.00014084507042253522
ends,0.00028169014084507044
endureth,0.00042253521126760566
enemy,0.00042253521126760566
energy,0.00028169014084507044
enforce,0.00014084507042253522
enlarge,0.00014084507042253522
enter,0.00014084507042253522
enticeth,0.00014084507042253522
envieth,0.00042253521126760566
epistle,0.00014084507042253522
error,0.00042253521126760566
eternal,0.00014084507042253522
eternity,0.0012676056338028169
even,0.00028169014084507044
every,0.0009859154929577464
evil,0.0023943661971830986
exceed,0.0018309859154929577
except,0.00042253521126760566
exercise,0.0007042253521126761
exhort,0.00014084507042253522
expect,0.0012676056338028169
face,0.00014084507042253522
fail,0.00042253521126760566
faileth,0.00014084507042253522
faint,0.00014084507042253522
faith,0.00014084507042253522
faithful,0.005211267605633803
fallen,0.00014084507042253522
farewell,0.00042253521126760566
fast,0.00028169014084507044
father,0.00014084507042253522
fathers,0.0028169014084507044
fear,0.0007042253521126761
feed,0.0008450704225352113
feeling,0.00014084507042253522
fell,0.00014084507042253522
fierce,0.00014084507042253522
fighteth,0.00014084507042253522
filled,0.00014084507042253522
filleth,0.00028169014084507044
finisher,0.00014084507042253522
firm,0.00014084507042253522
first,0.00014084507042253522
fled,0.00028169014084507044
flesh,0.00014084507042253522
follow,0.0005633802816901409
food,0.00028169014084507044
forever,0.00014084507042253522
forgiven,0.0008450704225352113
form,0.00014084507042253522
forth,0.00014084507042253522
found,0.0012676056338028169
