Word,Frequency
aaron,5.313778627982358e-05
abide,0.00021255114511929433
able,5.313778627982358e-05
ablom,0.00010627557255964716
aboard,5.313778627982358e-05
about,5.313778627982358e-05
above,0.00047824007651841227
abraham,0.0005845156490780594
account,5.313778627982358e-05
accursed,0.00047824007651841227
across,5.313778627982358e-05
adam,0.00021255114511929433
adopted,0.00010627557255964716
afflict,5.313778627982358e-05
after,5.313778627982358e-05
again,0.0024443381688718847
against,0.002550613741431532
agosh,0.0013815824432754132
agree,0.00010627557255964716
ahah,5.313778627982358e-05
akish,0.00021255114511929433
alma,0.001275306870715766
already,5.313778627982358e-05
also,5.313778627982358e-05
always,0.0036665072533078272
amen,0.00015941335883947074
amgid,0.00021255114511929433
ammon,0.00010627557255964716
among,5.313778627982358e-05
amulek,0.0013284446569955895
anchor,5.313778627982358e-05
ancient,5.313778627982358e-05
ancients,5.313778627982358e-05
anger,0.00010627557255964716
angry,0.0003188267176789415
animal,0.0002656889313991179
animals,5.313778627982358e-05
anoint,0.00010627557255964716
anointed,0.00010627557255964716
another,0.0003719645039587651
answered,0.0003188267176789415
apostles,0.00010627557255964716
appear,5.313778627982358e-05
applied,0.00010627557255964716
arise,5.313778627982358e-05
armed,5.313778627982358e-05
armies,0.00010627557255964716
army,0.00047824007651841227
arose,0.0009564801530368245
arts,0.0003188267176789415
asses,5.313778627982358e-05
assist,5.313778627982358e-05
attempt,5.313778627982358e-05
audience,5.313778627982358e-05
avenge,5.313778627982358e-05
avengeth,5.313778627982358e-05
awake,5.313778627982358e-05
away,5.313778627982358e-05
awful,0.001009617939316648
back,0.00010627557255964716
band,0.00015941335883947074
baptized,5.313778627982358e-05
barges,0.00015941335883947074
battle,0.0002656889313991179
bear,0.0018066847335140017
beareth,5.313778627982358e-05
beast,0.00010627557255964716
beasts,5.313778627982358e-05
beat,0.00010627557255964716
became,0.00042510229023858865
because,0.0009033423667570009
become,0.0024443381688718847
been,0.0005845156490780594
bees,0.001647271374674531
before,5.313778627982358e-05
began,0.0019660980923534724
begat,0.002019235878633296
beguiled,0.002178649237472767
beheld,5.313778627982358e-05
behold,0.00021255114511929433
being,0.003135129390509591
believe,0.000637653435357883
believed,0.00047824007651841227
benefit,0.00015941335883947074
benjamin,5.313778627982358e-05
bestow,5.313778627982358e-05
bestowed,5.313778627982358e-05
better,5.313778627982358e-05
between,5.313778627982358e-05
beyond,5.313778627982358e-05
bled,5.313778627982358e-05
bless,5.313778627982358e-05
blessed,5.313778627982358e-05
blood,0.0002656889313991179
blow,0.0009564801530368245
bodies,0.00010627557255964716
body,0.00010627557255964716
bondage,0.00021255114511929433
bones,5.313778627982358e-05
book,5.313778627982358e-05
borders,5.313778627982358e-05
born,0.00010627557255964716
borne,5.313778627982358e-05
borrow,5.313778627982358e-05
both,5.313778627982358e-05
bottom,0.0003719645039587651
bowed,0.00010627557255964716
brass,5.313778627982358e-05
break,5.313778627982358e-05
breath,5.313778627982358e-05
breathe,5.313778627982358e-05
brethern,5.313778627982358e-05
brethren,5.313778627982358e-05
bring,0.0003719645039587651
bringeth,0.0005313778627982358
bringing,0.00015941335883947074
broke,0.00015941335883947074
broken,0.00010627557255964716
brother,0.00010627557255964716
brothers,0.003985333970986769
brought,5.313778627982358e-05
build,0.0005845156490780594
buildeth,0.0005845156490780594
built,5.313778627982358e-05
burden,0.0007439290079175302
burial,5.313778627982358e-05
buried,5.313778627982358e-05
burn,0.00010627557255964716
bury,5.313778627982358e-05
cain,5.313778627982358e-05
calamity,5.313778627982358e-05
call,5.313778627982358e-05
called,0.00021255114511929433
came,0.000637653435357883
camp,0.01084010840108401
camps,5.313778627982358e-05
cannot,0.00010627557255964716
canst,0.0003719645039587651
captive,0.00010627557255964716
carnage,0.00010627557255964716
carried,5.313778627982358e-05
carry,0.00015941335883947074
cast,0.0003719645039587651
catch,0.0003719645039587651
cattle,5.313778627982358e-05
cause,5.313778627982358e-05
caused,0.0005845156490780594
cavity,0.00047824007651841227
cease,0.00021255114511929433
ceased,0.00021255114511929433
change,5.313778627982358e-05
charity,5.313778627982358e-05
children,0.0003188267176789415
choice,0.001009617939316648
choose,0.00047824007651841227
chose,5.313778627982358e-05
chosen,0.00010627557255964716
christ,5.313778627982358e-05
cities,0.0007439290079175302
city,0.0003188267176789415
clean,0.0002656889313991179
clear,0.00010627557255964716
cleave,5.313778627982358e-05
cloth,5.313778627982358e-05
clothe,5.313778627982358e-05
clothed,5.313778627982358e-05
cloud,5.313778627982358e-05
clowd,0.00010627557255964716
cohor,5.313778627982358e-05
come,0.0003719645039587651
cometh,0.0017535469472341782
command,0.00042510229023858865
commend,0.00010627557255964716
commit,5.313778627982358e-05
comnor,0.00010627557255964716
confound,0.00010627557255964716
