Word,Frequency
abinadom,0.0006024096385542169
about,0.0012048192771084338
account,0.0006024096385542169
across,0.0006024096385542169
after,0.0006024096385542169
again,0.0018072289156626507
also,0.0012048192771084338
amaleki,0.0030120481927710845
amaron,0.0018072289156626507
among,0.0012048192771084338
angels,0.0012048192771084338
away,0.0006024096385542169
babylon,0.0024096385542168677
because,0.0006024096385542169
become,0.0006024096385542169
been,0.0012048192771084338
before,0.0006024096385542169
began,0.0006024096385542169
behold,0.0006024096385542169
being,0.008433734939759036
believe,0.0024096385542168677
beloved,0.0006024096385542169
benjamin,0.0006024096385542169
between,0.0024096385542168677
bones,0.0012048192771084338
book,0.0006024096385542169
born,0.0012048192771084338
brass,0.0006024096385542169
brethren,0.0006024096385542169
brother,0.0012048192771084338
brought,0.0018072289156626507
called,0.0018072289156626507
came,0.0012048192771084338
captive,0.00963855421686747
carried,0.0006024096385542169
caused,0.0006024096385542169
certain,0.0012048192771084338
chemish,0.0006024096385542169
christ,0.0018072289156626507
come,0.0006024096385542169
cometh,0.0024096385542168677
continue,0.0006024096385542169
could,0.0006024096385542169
creator,0.0006024096385542169
days,0.0006024096385542169
death,0.0024096385542168677
defence,0.0006024096385542169
deliver,0.0006024096385542169
denied,0.0018072289156626507
depart,0.0006024096385542169
departed,0.0006024096385542169
desirous,0.0006024096385542169
devil,0.0006024096385542169
done,0.0006024096385542169
down,0.0006024096385542169
drive,0.0012048192771084338
dwelt,0.0006024096385542169
eighty,0.0012048192771084338
endure,0.0006024096385542169
enemies,0.0006024096385542169
engraven,0.0018072289156626507
evil,0.0006024096385542169
fallen,0.0006024096385542169
falling,0.0006024096385542169
fasting,0.0012048192771084338
father,0.0006024096385542169
fathers,0.0012048192771084338
fell,0.0030120481927710845
fifty,0.0006024096385542169
fine,0.0006024096385542169
first,0.0006024096385542169
flee,0.0006024096385542169
forth,0.0006024096385542169
fought,0.0006024096385542169
from,0.0006024096385542169
full,0.004819277108433735
gave,0.0006024096385542169
gift,0.0012048192771084338
good,0.0018072289156626507
grave,0.0012048192771084338
great,0.0006024096385542169
hand,0.0018072289156626507
hands,0.0012048192771084338
have,0.0018072289156626507
having,0.0036144578313253013
hearken,0.0006024096385542169
holy,0.0012048192771084338
hundred,0.0012048192771084338
inasmuch,0.0018072289156626507
insomuch,0.0006024096385542169
into,0.0006024096385542169
israel,0.006024096385542169
jarom,0.0012048192771084338
jews,0.0006024096385542169
journey,0.0006024096385542169
journied,0.0006024096385542169
judah,0.0006024096385542169
judgment,0.0006024096385542169
just,0.0006024096385542169
keep,0.0012048192771084338
kept,0.0012048192771084338
king,0.0018072289156626507
kings,0.0036144578313253013
know,0.0006024096385542169
knowing,0.0012048192771084338
known,0.0006024096385542169
land,0.0006024096385542169
language,0.008433734939759036
large,0.0024096385542168677
last,0.0012048192771084338
leader,0.0006024096385542169
lived,0.0006024096385542169
lives,0.0006024096385542169
liveth,0.0006024096385542169
lord,0.0006024096385542169
made,0.008433734939759036
make,0.0006024096385542169
manner,0.0024096385542168677
many,0.0006024096385542169
memory,0.004216867469879518
mighty,0.0006024096385542169
mine,0.0006024096385542169
moons,0.0006024096385542169
more,0.0006024096385542169
mosiah,0.0006024096385542169
much,0.00783132530120482
myself,0.0024096385542168677
neither,0.0006024096385542169
nephi,0.0006024096385542169
nephites,0.0012048192771084338
nine,0.0030120481927710845
nothing,0.0006024096385542169
number,0.0006024096385542169
numerous,0.0018072289156626507
obtain,0.0006024096385542169
offer,0.0006024096385542169
offering,0.0006024096385542169
omni,0.0006024096385542169
others,0.0006024096385542169
ought,0.0006024096385542169
over,0.0006024096385542169
parents,0.0012048192771084338
part,0.0006024096385542169
partake,0.0006024096385542169
pass,0.0006024096385542169
passed,0.00783132530120482
peace,0.0018072289156626507
people,0.0006024096385542169
perish,0.00783132530120482
plates,0.0006024096385542169
possess,0.004819277108433735
power,0.0006024096385542169
praying,0.0018072289156626507
preserve,0.0006024096385542169
prophecy,0.0012048192771084338
prosper,0.0006024096385542169
record,0.0006024096385542169
records,0.0012048192771084338
reigneth,0.0012048192771084338
rejoice,0.0006024096385542169
return,0.0006024096385542169
returned,0.0006024096385542169
same,0.0006024096385542169
save,0.0006024096385542169
saved,0.0018072289156626507
saying,0.0006024096385542169
seasons,0.0006024096385542169
seed,0.0012048192771084338
seen,0.0006024096385542169
sent,0.0006024096385542169
serious,0.0006024096385542169
seventy,0.0018072289156626507
severity,0.0006024096385542169
shall,0.0006024096385542169
should,0.0012048192771084338
since,0.004819277108433735
slain,0.0006024096385542169
somewhat,0.0012048192771084338
souls,0.0018072289156626507
space,0.0006024096385542169
spake,0.0006024096385542169
spare,0.0012048192771084338
speak,0.0006024096385542169
speaking,0.0012048192771084338
statutes,0.0012048192771084338
stead,0.0006024096385542169
stone,0.0006024096385542169
strong,0.0006024096385542169
suffer,0.0006024096385542169
sword,0.0012048192771084338
taken,0.0018072289156626507
taught,0.0006024096385542169
that,0.0012048192771084338
their,0.01927710843373494
them,0.006024096385542169
there,0.010240963855421687
these,0.0030120481927710845
they,0.0036144578313253013
things,0.012650602409638554
this,0.0018072289156626507
three,0.0012048192771084338
through,0.0006024096385542169
time,0.0006024096385542169
together,0.0036144578313253013
tongues,0.0006024096385542169
took,0.0006024096385542169
tower,0.0012048192771084338
twenty,0.0006024096385542169
unite,0.0006024096385542169
until,0.0006024096385542169
unto,0.0006024096385542169
upon,0.007228915662650603
verified,0.0024096385542168677
visit,0.0006024096385542169
voice,0.0006024096385542169
warned,0.0012048192771084338
wars,0.0006024096385542169
